"","title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"1433","Much Loved","MOVIE",2015,"",108,"['drama', 'european']","['FR', 'MA']",6.2,2772,5.794,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1436","A Second Chance","MOVIE",2015,"",130,"['drama', 'romance', 'family', 'documentation', 'sport']","['PH']",8.6,47,2.752,7.1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
"1437","Rebirth","MOVIE",2016,"",101,"['thriller']","['US']",4.9,5290,8.68,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1438","Lang Tong","MOVIE",2015,"",83,"['thriller']","['SG']",4.8,337,3.909,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1439","Manson Family Vacation","MOVIE",2015,"",85,"['comedy', 'drama', 'thriller']","['US']",5.8,2995,6.451,5.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1441","Gridlocked","MOVIE",2016,"R",110,"['action']","['CA']",5.8,4604,14.458,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1443","Jimmy Carr: Funny Business","MOVIE",2016,"",62,"['comedy']","['GB']",7.2,4356,5.549,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1444","Aziz Ansari: Live at Madison Square Garden","MOVIE",2015,"",58,"['comedy']","['US']",6.6,3266,4.73,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1445","The Next Skin","MOVIE",2016,"",100,"['drama', 'thriller', 'european']","['ES']",6.2,1820,5.453,5.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1446","Chris Tucker: Live","MOVIE",2015,"",92,"['comedy', 'documentation']","['US']",6.3,1955,5.362,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1447","Dana Carvey: Straight White Male, 60","MOVIE",2016,"",64,"['comedy']","['US']",6.5,1528,2.747,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1448","Justin Timberlake + The Tennessee Kids","MOVIE",2016,"",90,"['music', 'documentation']","['US']",7.6,2191,3.257,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1449","Russell Peters: Almost Famous","MOVIE",2016,"",73,"['comedy']","['US']",6.6,1905,2.156,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1451","Colin Quinn: Unconstitutional","MOVIE",2015,"",55,"['comedy']","['US']",7.1,478,2.333,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1452","Jim Jefferies: Freedumb","MOVIE",2016,"R",86,"['comedy', 'documentation']","['US']",7.7,5420,4.802,7.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1453","Asperger's Are Us","MOVIE",2016,"",83,"['documentation', 'comedy', 'drama']","['US']",6.6,737,2.227,5.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1454","Tony Robbins: I Am Not Your Guru","MOVIE",2016,"",115,"['documentation']","['US']",6.6,4391,6.569,6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1455","Hunterrr","MOVIE",2015,"R",141,"['romance', 'drama', 'comedy']","['IN']",7,6262,2.332,6.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1456","Belgica","MOVIE",2016,"",127,"['drama', 'european']","['FR', 'BE']",6.7,4519,4.889,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1458","Kapoor & Sons","MOVIE",2016,"PG-13",140,"['drama', 'romance', 'comedy', 'family']","['IN']",7.7,26130,8.129,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"1459","Udta Punjab","MOVIE",2016,"R",148,"['drama', 'action', 'crime']","['IN']",7.7,30276,8.861,7.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1460","Tamasha","MOVIE",2015,"PG",139,"['drama', 'comedy', 'romance']","['IN']",7.3,27331,6.88,6.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1462","Breaking the Bank","MOVIE",2016,"",106,"['comedy']","['GB']",4.8,939,3.056,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1463","All About Asado","MOVIE",2016,"",90,"['documentation']","['AR']",6.5,579,1.802,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1465","Chronically Metropolitan","MOVIE",2016,"",86,"['comedy', 'drama']","['US']",4.9,1525,3.964,5.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1467","Fate/Grand Order: First Order","MOVIE",2016,"",72,"['action', 'fantasy', 'animation']","['JP']",5.7,896,12.341,6.8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"1470","Hannibal Buress: Comedy Camisado","MOVIE",2016,"R",67,"['comedy']","['US']",6.6,1520,4.087,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1471","Anjelah Johnson: Not Fancy","MOVIE",2015,"",63,"['comedy', 'documentation']","['US']",5.7,701,2.405,4.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1473","Force 2","MOVIE",2016,"PG",123,"['action', 'crime', 'thriller']","['IN']",6.2,5550,5.209,6.6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1474","Fitoor","MOVIE",2016,"",131,"['romance', 'drama']","['IN']",5.4,4840,5.517,5.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1475","Triumph in the Skies","MOVIE",2015,"",100,"['comedy', 'drama', 'romance']","['HK']",4.3,377,1.835,4.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1476","In the Shadow of Iris","MOVIE",2016,"",99,"['thriller', 'drama', 'crime', 'european']","['FR']",6.1,4275,8.117,5.844,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1478","Mucize","MOVIE",2015,"PG-13",136,"['drama', 'comedy', 'romance', 'documentation', 'european']","['TR']",7.6,12593,6.24,7.2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1479","The Ivory Game","MOVIE",2016,"",112,"['documentation', 'european']","['AT', 'US']",7.9,3243,3.919,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1480","Our Lovers","MOVIE",2016,"",88,"['romance', 'comedy', 'drama', 'european']","['ES']",6.7,4228,17.857,7.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1483","Beauty and the Bestie","MOVIE",2015,"",119,"['action', 'comedy', 'drama']","['PH']",4.6,297,2.213,4.8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1485","Tom Segura: Mostly Stories","MOVIE",2016,"",73,"['comedy', 'documentation']","['US']",7.5,3653,2.89,7.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1487","Dhanak","MOVIE",2015,"",106,"['drama', 'comedy']","['IN']",7.9,3893,2.918,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1488","Jonah","MOVIE",2016,"PG",97,"['drama', 'thriller', 'romance', 'family']","['BR']",5.4,230,3.125,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"1489","Chocolate City: Vegas Strip","MOVIE",2016,"PG-13",89,"['drama']","['US']",3.7,303,4.126,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1490","I'll Sleep When I'm Dead","MOVIE",2016,"",82,"['documentation']","['US']",6.6,1364,3.096,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1494","ABCD 2","MOVIE",2015,"PG",154,"['music', 'drama']","['IN']",5.4,6424,4.913,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1496","Ali Baba and the 7 Dwarfs","MOVIE",2015,"PG-13",114,"['action', 'comedy', 'drama']","['TR']",5.6,20155,3.728,5.2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1497","Te3n","MOVIE",2016,"PG-13",136,"['thriller', 'drama']","['IN']",7.3,12816,10.676,6.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1498","Chatô, The King of Brazil","MOVIE",2015,"",100,"['drama', 'comedy', 'history']","['BR']",5.4,19,2.234,5.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1499","The Guardian Brothers","MOVIE",2016,"PG",103,"['animation', 'family', 'fantasy', 'comedy']","['CN']",5.4,2121,16.724,5.8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"1500","Budhia Singh: Born to Run","MOVIE",2016,"",112,"['drama', 'sport']","['IN']",7.6,1503,1.495,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1502","Mercy","MOVIE",2016,"",82,"['thriller', 'drama']","['US']",4.1,3476,7.517,4.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1503","City of Joy","MOVIE",2016,"",74,"['documentation', 'thriller', 'war', 'crime', 'drama']","['CD']",7.5,525,1.239,7.5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1504","XOXO","MOVIE",2016,"",92,"['music', 'drama']","['US']",5.3,7021,16.887,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1505","Layla M.","MOVIE",2016,"",98,"['drama', 'european']","['NL']",6.6,1722,2.458,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1507","Jessica Darling's It List","MOVIE",2016,"",79,"['family']","['US']",5.4,994,9.284,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1508","Garfunkel and Oates: Trying to be Special","MOVIE",2016,"",62,"['comedy', 'music']","['US']",7.3,919,3.186,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1509","Slam","MOVIE",2016,"",100,"['comedy', 'romance', 'drama', 'european']","['IT']",6.1,1329,11.308,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1510","The Blind Christ","MOVIE",2016,"R",95,"['drama']","['FR', 'CL']",5.8,275,6.235,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1511","Shaandaar","MOVIE",2015,"PG-13",144,"['comedy', 'romance', 'drama']","['IN']",3.6,5723,3.961,4.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1513","Rainbow Time","MOVIE",2016,"",91,"['drama', 'comedy']","['US']",5.9,726,3.352,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1516","The Flower of Aleppo","MOVIE",2016,"",100,"['drama', 'action', 'war']","['TN']",5.4,128,1.4,6.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1517","The Worthy","MOVIE",2016,"",95,"['thriller', 'action', 'scifi', 'fantasy', 'family', 'european']","['AE']",5.1,2004,5.348,4.8,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
"1520","You Are My Sunday","MOVIE",2016,"",119,"['drama', 'comedy']","['IN']",7.7,1678,1.728,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1521","The Lion Woman","MOVIE",2016,"PG-13",126,"['drama', 'european']","['SE', 'NO']",6.6,1410,17.587,6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1523","7:19","MOVIE",2016,"",94,"['history', 'thriller', 'drama']","['MX']",5.8,649,8.11,6.4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"1526","Schubert in Love","MOVIE",2016,"",94,"['comedy', 'european']","['DE']",5,371,3.314,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1527","Frank and Cindy","MOVIE",2015,"",102,"['comedy', 'drama']","['US']",6.1,863,2.311,5.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1528","Dharam Sankat Mein","MOVIE",2015,"PG-13",129,"['comedy', 'drama', 'family', 'fantasy', 'thriller']","['IN']",6.3,2262,3.51,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"1532","Puerto Ricans in Paris","MOVIE",2015,"R",82,"['comedy']","['US']",5.3,1856,5.176,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1533","Love O2O","MOVIE",2016,"",105,"['comedy', 'romance', 'drama']","['CN']",6.4,1039,7.811,6.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1534","Fifty","MOVIE",2015,"",101,"['drama', 'romance', 'sport', 'thriller']","['NG']",6,265,2.484,5.3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"1536","Liar, Liar, Vampire","MOVIE",2015,"G",66,"['comedy', 'family']","['US']",5.7,964,9.086,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1538","Patton Oswalt: Talking for Clapping","MOVIE",2016,"",65,"['comedy', 'documentation']","['US']",6.7,2001,3.337,6.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1539","Selfie 69","MOVIE",2016,"",116,"['comedy', 'action', 'romance', 'european']","['RO']",6.1,1700,4.445,6.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"1541","Ricardo O'Farrill: Abrazo Genial","MOVIE",2016,"",92,"['comedy']","['MX']",5.5,117,1.481,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1542","My Mother's Wound","MOVIE",2016,"PG-13",120,"['drama', 'thriller', 'war']","['TR']",7.3,3692,4.392,6.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1543","Iliza Shlesinger: Confirmed Kills","MOVIE",2016,"",77,"['comedy']","['US']",6.6,2880,5.957,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1544","Umrika","MOVIE",2015,"",98,"['comedy', 'drama']","['IN']",6.6,1472,2.265,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1545","Journey to Greenland","MOVIE",2016,"",98,"['drama', 'comedy', 'european']","['GL', 'FR']",6.3,1343,3.262,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1547","Michael Che Matters","MOVIE",2016,"",60,"['comedy']","['US']",7.2,2657,3.242,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1548","'76","MOVIE",2016,"PG-13",118,"['romance', 'drama']","['NG']",5.6,227,2.062,7.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1549","Halal Love","MOVIE",2016,"",95,"['romance', 'drama', 'comedy', 'european']","['LB', 'DE']",6.3,382,1.352,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1550","100 Meters","MOVIE",2016,"",108,"['drama', 'comedy', 'european']","['ES']",7.5,6248,8.137,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1551","Brent Morin: I'm Brent Morin","MOVIE",2015,"",67,"['comedy']","['US']",6.5,691,1.929,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1552","Joe Rogan: Triggered","MOVIE",2016,"",63,"['comedy', 'documentation']","['US']",7.4,4547,3.272,6.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1553","Kyaa Kool Hain Hum 3","MOVIE",2016,"",124,"['comedy']","['IN']",1.9,4356,4.658,3.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1554","Olmo and the Seagull","MOVIE",2015,"",90,"['drama', 'european', 'romance', 'family', 'documentation']","['PT', 'SE', 'DK', 'BR', 'FR']",7.2,676,2.034,7.1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"1555","The Beginning of Life","MOVIE",2016,"G",98,"['documentation', 'family']","['BR']",7.5,940,1.134,7.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1556","Offline: Are You Ready for the Next Level?","MOVIE",2016,"",88,"['action', 'comedy', 'european']","['DE']",5,783,16.734,5.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1558","Phantom","MOVIE",2015,"",136,"['thriller', 'action', 'drama', 'crime', 'horror', 'european']","['IN']",5.9,9281,3.083,5.6,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1560","MindGamers","MOVIE",2015,"",97,"['action', 'scifi', 'thriller', 'european']","['AT']",3.6,1111,1.593,4.3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"1561","David Cross: Making America Great Again","MOVIE",2016,"",74,"['comedy']","['US']",6.5,1674,2.286,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1562","Jeff Dunham: Unhinged in Hollywood","MOVIE",2015,"PG",60,"['comedy']","['US']",6.7,722,1.77,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1563","Barcelona: A Love Untold","MOVIE",2016,"",132,"['romance', 'drama']","['PH']",6.6,766,3.331,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1566","Sofía Niño de Rivera: Exposed","MOVIE",2016,"",80,"['comedy']","['MX']",7.3,304,2.632,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1567","The Doll","MOVIE",2016,"",106,"['thriller', 'horror']","['ID']",5.2,764,6.038,5.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1568","U Turn","MOVIE",2016,"R",121,"['horror', 'thriller', 'crime', 'drama']","['IN']",7.5,3310,2.982,6.8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1569","I Love You","MOVIE",2016,"",98,"['comedy', 'drama', 'romance', 'european']","['SE']",4.7,1008,2.205,4.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1570","Very Big Shot","MOVIE",2015,"R",107,"['action', 'drama', 'thriller', 'crime']","['QA', 'LB']",6.9,1405,1.669,6.7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1572","The Heirs","MOVIE",2015,"",71,"['drama']","['MX']",5.7,223,1.309,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1573","Barakah Meets Barakah","MOVIE",2016,"",88,"['romance', 'comedy']","['SA']",6.3,1705,2.115,6.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1575","Pettson and Findus: The Best Christmas Ever","MOVIE",2016,"",82,"['family', 'animation', 'comedy', 'fantasy', 'european']","['DE']",5.5,356,2.616,5.4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"1576","Iliza Shlesinger: Freezing Hot","MOVIE",2015,"",71,"['comedy', 'documentation']","['US']",6.8,2616,3.345,6.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1577","Katti Batti","MOVIE",2015,"",138,"['comedy', 'romance', 'drama']","['IN']",4.6,3157,1.508,5.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1579","Mike Epps: Don't Take It Personal","MOVIE",2015,"",60,"['comedy']","['US']",4.4,288,2.565,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1580","Ghost Patrol","MOVIE",2016,"",50,"['thriller', 'animation', 'family']","['CA']",5.1,226,2.149,4.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"1581","Bangistan","MOVIE",2015,"PG-13",135,"['comedy', 'drama']","['IN']",4.5,1284,4.372,6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1582","Ludo","MOVIE",2015,"",90,"['horror', 'thriller', 'fantasy']","['IN']",2.8,852,3.316,2.8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"1583","Born in Syria","MOVIE",2016,"",86,"['documentation', 'european']","['ES', 'DK']",7.7,280,2.143,7.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1584","Theo Von: No Offense","MOVIE",2016,"",65,"['comedy', 'documentation']","['US']",5.6,875,2.294,6.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1585","Ricardo O'Farrill: abrazo navideño","MOVIE",2016,"",31,"['comedy']","['MX']",5.7,71,1.235,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1586","Trailer Park Boys: Drunk, High and Unemployed: Live In Austin","MOVIE",2015,"",74,"['comedy']","['CA']",6.5,1062,2.368,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1587","#Rucker50","MOVIE",2016,"",56,"['documentation']","['US']",5.2,120,1.645,3.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1588","The Breakup Playlist","MOVIE",2015,"",117,"['romance', 'drama', 'music']","['PH']",6.5,305,1.875,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"1590","S Storm","MOVIE",2016,"PG-13",90,"['thriller', 'drama', 'crime', 'action']","['CN', 'HK']",5.1,721,2.201,5.7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1591","HiGH&LOW: The Red Rain","MOVIE",2016,"",110,"['action', 'drama']","['JP']",6.1,296,2.529,7.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1593","Those who fear are dead","MOVIE",2016,"",110,"['drama']","['EG']",3.6,88,0.763,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1594","Poshter Girl","MOVIE",2016,"PG-13",140,"['comedy']","['IN']",6.6,330,1.611,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1595","3000 Nights","MOVIE",2015,"",103,"['drama']","['AE', 'FR', 'JO', 'LB', 'QA', 'PS']",7,720,2.069,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1596","Wazir","MOVIE",2016,"PG-13",103,"['thriller', 'crime', 'drama', 'action']","['IN']",7.2,18681,5.319,6.6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1597","Motu Patlu: King Of Kings","MOVIE",2016,"G",109,"['animation', 'action', 'comedy']","['IN']",6.5,165,2.208,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"1598","The Love Affair","MOVIE",2015,"",125,"['romance', 'drama']","['PH']",6.3,259,1.539,5.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1599","Everyday I Love You","MOVIE",2015,"",122,"['romance', 'drama']","['PH']",7,496,1.504,7.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1600","Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking","MOVIE",2016,"",74,"['comedy']","['US']",5.9,652,1.921,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1603","Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine)","MOVIE",2015,"",78,"['comedy']","['US']",6.8,1506,2.027,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1605","Reggie Watts: Spatial","MOVIE",2016,"",61,"['comedy', 'music']","['US']",6,515,1.945,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1609","Meet The in-Laws","MOVIE",2016,"",75,"['comedy']","['NG']",6,24,1.512,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1612","Chris D'Elia: Incorrigible","MOVIE",2015,"R",83,"['comedy', 'documentation']","['US']",6.4,1540,2.593,6.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1614","Ordinary People","MOVIE",2016,"",107,"['drama']","['PH']",7.3,516,2.117,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1616","Couple Of Days","MOVIE",2016,"",103,"['drama']","['NG']",6.4,21,0.671,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1617","Kara Bela","MOVIE",2015,"PG-13",100,"['comedy', 'action', 'drama']","['TR']",6.7,9056,3.656,6.6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1618","Vince & Kath & James","MOVIE",2016,"",116,"['romance']","['PH']",6.8,373,1.936,6.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1620","Carlos Ballarta: el amor es de putos","MOVIE",2016,"",67,"['comedy']","['MX']",7,235,3.487,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1621","Sen Benim HerŞeyimsin","MOVIE",2016,"",107,"['comedy']","['TR']",6.2,2707,3.082,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1622","Saawan","MOVIE",2016,"",90,"['thriller', 'drama']","['PK']",7.3,253,2.513,7.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1623","A Chaster Marriage","MOVIE",2016,"PG-13",93,"['comedy', 'romance', 'family']","['TR']",5.4,874,1.508,5.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"1625","Eddie: Strongman","MOVIE",2015,"",98,"['documentation']","['GB']",7.4,1168,1.814,6.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1627","Cedric the Entertainer: Live from the Ville","MOVIE",2016,"",60,"['comedy']","['US']",6.2,696,1.519,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1628","Wedding Association 2: Circumcision","MOVIE",2015,"PG-13",107,"['comedy']","['TR']",6.3,10439,3.703,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1629","One in a Billion","MOVIE",2016,"",69,"['documentation']","['US']",6.7,545,1.674,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630","Brahman Naman","MOVIE",2016,"",94,"['comedy']","['IN', 'GB']",5.5,1901,2.608,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1631","XV Beyond the Tryline","MOVIE",2016,"",91,"['documentation', 'sport']","['GB']",6.8,76,1.278,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1632","Virunga: Gorillas in Peril","MOVIE",2015,"",28,"['documentation']","['US']",6.6,32,1.46,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
