"","title","type","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"1208","La Casa","SHOW",2015,"TV-MA",47,"['drama']","['AR']",1,7.7,23,0.84,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1210","Wanted","SHOW",2016,"TV-14",45,"['crime', 'drama', 'action']","['AU']",3,7.6,5920,12.755,7.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1212","Fuller House","SHOW",2016,"TV-Y7",27,"['comedy', 'family']","['US']",5,6.7,27445,25.211,7.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1213","Secret City","SHOW",2016,"TV-MA",50,"['war', 'thriller']","['AU']",3,7.4,8086,12.012,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1214","Mobile Suit Gundam: Iron-Blooded Orphans","SHOW",2015,"TV-MA",24,"['war', 'action', 'scifi', 'animation', 'drama']","['JP']",2,7.9,1660,9.168,7.1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"1216","Chef's Table","SHOW",2015,"TV-MA",50,"['documentation']","['US']",7,8.5,15352,10.447,7.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1219","Locked Up","SHOW",2015,"TV-MA",49,"['drama', 'thriller', 'action', 'european']","['ES']",4,8.2,21862,156.976,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1220","Degrassi: Next Class","SHOW",2016,"TV-PG",24,"['drama', 'romance']","['CA']",6,6.8,3285,12.075,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1222","Aquarius","SHOW",2015,"TV-14",43,"['drama', 'thriller', 'crime', 'european']","['US']",2,7,12279,13.111,6.8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1223","Frequency","SHOW",2016,"TV-14",18,"['scifi', 'drama', 'fantasy', 'thriller']","['US']",3,7.4,13723,12.16,7.3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"1226","Greenleaf","SHOW",2016,"TV-MA",42,"['drama']","['US']",5,7.3,5227,18.424,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1229","Gilmore Girls: A Year in the Life","SHOW",2016,"TV-14",92,"['drama', 'comedy']","['US']",1,7.6,37577,14.808,7.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1231","Last Chance U","SHOW",2016,"TV-MA",59,"['documentation', 'sport']","['US']",5,8.4,6897,14.88,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1235","Roman Empire","SHOW",2016,"TV-14",44,"['drama', 'documentation', 'history', 'war']","['US']",3,7,7742,21.454,6.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"1236","Reply 1988","SHOW",2015,"TV-14",92,"['comedy', 'drama', 'family', 'romance']","['KR']",1,9.2,6718,18.37,8.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"1238","Rebellion","SHOW",2016,"TV-14",51,"['war', 'drama', 'history', 'european']","['IE', 'GB']",2,7.1,3802,13.651,7.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"1239","The Get Down","SHOW",2016,"TV-MA",62,"['drama', 'music']","['US']",2,8.2,22462,7.479,7.348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1241","Trollhunters: Tales of Arcadia","SHOW",2016,"TV-Y7",22,"['scifi', 'action', 'fantasy', 'comedy', 'drama', 'animation', 'family']","['US']",3,8.4,16779,50.896,8.5,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"1243","Voltron: Legendary Defender","SHOW",2016,"TV-Y7",24,"['action', 'scifi', 'comedy', 'fantasy', 'drama', 'animation', 'family']","['US']",8,8.1,8821,16.452,7.4,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"1244","The Letdown","SHOW",2016,"",30,"['comedy']","['AU']",2,7.4,3369,2.7,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1245","Ajin","SHOW",2016,"TV-MA",23,"['action', 'scifi', 'thriller', 'animation', 'horror', 'drama', 'fantasy']","['JP']",2,7.6,6199,17.293,8.2,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"1246","Transformers: Robots In Disguise","SHOW",2015,"TV-Y7",21,"['comedy', 'scifi', 'animation', 'action']","['US']",5,6,1066,11.302,7.6,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"1253","Lady Dynamite","SHOW",2016,"TV-MA",30,"['drama', 'comedy']","['US']",2,7.3,3693,6.236,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1257","Signal","SHOW",2016,"TV-MA",71,"['crime', 'thriller', 'drama', 'fantasy', 'scifi']","['KR']",2,8.5,6659,9.477,8.1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"1258","Paranoid","SHOW",2016,"",44,"['thriller', 'crime', 'drama', 'european']","['GB']",1,6.6,8585,7.738,6.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1261","El marginal","SHOW",2016,"TV-MA",54,"['drama', 'crime', 'thriller', 'action']","['AR']",5,8.1,4047,94.391,8.2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1262","A Very Secret Service","SHOW",2015,"TV-MA",27,"['comedy', 'european']","['FR']",2,7.7,3574,9.227,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1266","Flaked","SHOW",2016,"TV-MA",33,"['comedy', 'drama', 'romance']","['US']",2,7.2,11474,8.853,6.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1268","Danger Mouse","SHOW",2015,"",12,"['comedy', 'action', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'european']","['GB']",2,7.2,587,6.326,7.6,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"1273","White Rabbit Project","SHOW",2016,"TV-PG",48,"['reality']","['US']",1,6.9,1667,3.977,6.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1275","Cinderella and Four Knights","SHOW",2016,"TV-PG",61,"['drama', 'family', 'comedy', 'romance']","['KR']",1,7.4,3943,34.735,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"1279","The Cuba Libre Story","SHOW",2015,"TV-14",45,"['documentation', 'history', 'european']","['DE']",2,7.6,1649,3.412,6.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1281","The Haunted House","SHOW",2016,"TV-PG",25,"['thriller', 'horror', 'animation', 'comedy', 'drama', 'family', 'fantasy']","['KR']",7,8.3,83,40.65,10,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
"1283","Sunny Bunnies","SHOW",2015,"TV-Y",3,"['animation', 'family']","['BY']",5,6.7,97,2.06,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1284","Dinotrux","SHOW",2015,"TV-Y7",23,"['action', 'comedy', 'family', 'animation']","['US']",5,6.7,465,8.914,7.4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"1285","Zumbo's Just Desserts","SHOW",2016,"TV-14",50,"['reality']","['AU']",2,6.9,2177,5.174,6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1288","Dawn of the Croods","SHOW",2015,"TV-Y7",23,"['action', 'comedy', 'family', 'animation']","['US']",4,5.8,723,27.252,7.7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"1289","The Adventures of Puss in Boots","SHOW",2015,"TV-Y7",23,"['comedy', 'family', 'animation', 'action', 'fantasy', 'western']","['US']",6,6.6,1726,22.766,6.9,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
"1290","Grizzy & the Lemmings","SHOW",2016,"TV-Y7",7,"['animation', 'comedy', 'family', 'european']","['FR']",3,7.1,599,23.688,8.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1293","Terrace House: Boys & Girls in the City","SHOW",2015,"TV-14",29,"['reality', 'drama']","['JP']",1,8.1,1663,5.125,8.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1295","Club de Cuervos","SHOW",2015,"TV-MA",46,"['drama', 'comedy']","['MX']",4,8.2,5586,25.34,8.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1296","T@gged","SHOW",2016,"TV-14",21,"['drama', 'thriller', 'reality']","['US']",3,7.1,2077,11.589,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"1298","Crazyhead","SHOW",2016,"",43,"['comedy', 'horror', 'scifi', 'european']","['GB']",1,7.2,5024,6.442,6.7,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1300","The Windsors","SHOW",2016,"TV-MA",27,"['comedy']","['GB']",3,7.1,2677,4.763,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1301","The K2","SHOW",2016,"TV-14",65,"['action', 'drama', 'war', 'romance', 'thriller']","['KR']",1,7.8,6194,27.411,7.4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
"1303","Netflix Presents: The Characters","SHOW",2016,"TV-MA",33,"['comedy']","['US']",1,5.2,861,4.376,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1304","W/ Bob & David","SHOW",2015,"TV-MA",35,"['comedy']","['US']",1,7.4,4160,4.117,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1305","The Mr. Peabody & Sherman Show","SHOW",2015,"",23,"['animation', 'scifi', 'comedy', 'family', 'history']","['US']",4,5.6,442,5.557,7.4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"1306","Between","SHOW",2015,"TV-14",25,"['scifi', 'thriller', 'drama']","['CA']",2,5.9,9172,13.581,5.7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"1307","Love O2O","SHOW",2016,"TV-14",45,"['drama', 'romance']","['CN']",1,7.9,2585,27.228,6.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1308","Puffin Rock","SHOW",2015,"TV-Y",11,"['comedy', 'animation', 'family', 'european']","['IE']",2,8.6,919,3.171,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1309","Care Bears and Cousins","SHOW",2015,"TV-Y",22,"['animation']","['US']",2,6.8,83,3.153,9.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1311","Dragons: Race to the Edge","SHOW",2015,"TV-Y7",22,"['scifi', 'family', 'animation', 'action', 'comedy', 'fantasy', 'drama']","['US']",6,8.2,6376,52.569,8.2,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"1314","Case","SHOW",2015,"",46,"['drama', 'crime', 'thriller']","['IS']",1,7,2755,3.389,7.3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1315","The Method","SHOW",2015,"TV-MA",51,"['crime', 'drama', 'thriller']","['RU']",2,7.4,2784,6.577,7.8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1317","La Niña","SHOW",2016,"TV-MA",0,"['action', 'drama']","['CO']",1,8.4,649,23.759,7.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1319","Midnight Diner: Tokyo Stories","SHOW",2016,"TV-14",25,"['drama']","['JP']",2,8.4,4149,11.357,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1321","Inside the World's Toughest Prisons","SHOW",2016,"TV-MA",48,"['crime', 'documentation']","['GB']",5,7.1,2747,5.099,7.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1322","Conspiracy","SHOW",2015,"TV-14",43,"['history', 'documentation', 'european']","['GB']",1,6.2,379,2.421,5.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1324","The Deep","SHOW",2015,"TV-Y7",22,"['action', 'family', 'scifi', 'animation']","['AU']",4,7.8,667,13.096,7.8,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
"1325","Rosario Tijeras","SHOW",2016,"TV-MA",45,"['drama', 'action', 'crime', 'romance', 'thriller']","['MX']",3,6.1,340,293.969,7.4,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"1328","Bella and the Bulldogs","SHOW",2015,"TV-G",23,"['comedy', 'family', 'sport']","['US']",2,4.9,2255,12.273,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"1331","Chelsea Does","SHOW",2016,"TV-MA",70,"['documentation']","['US']",1,7.3,2476,3.273,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1333","Molang","SHOW",2015,"TV-G",3,"['animation', 'comedy', 'family', 'european']","['FR']",3,8.3,367,9.07,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1334","Ask the Storybots","SHOW",2016,"TV-Y",26,"['animation', 'comedy', 'family']","['US']",3,8.4,878,7.471,8.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1335","Heidi","SHOW",2015,"TV-Y",23,"['animation', 'drama', 'family', 'european']","['AU', 'FR', 'DE']",2,7.1,242,8.606,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1341","Cooked","SHOW",2016,"TV-PG",53,"['documentation']","['US']",1,7.6,43,3.188,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1343","World of Winx","SHOW",2016,"TV-Y7",24,"['action', 'fantasy', 'animation', 'comedy', 'family', 'european']","['US', 'IT']",2,6.6,727,6.824,8.2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
"1344","Inspector Gadget","SHOW",2015,"TV-Y",22,"['action', 'scifi', 'animation', 'comedy', 'family']","['CA', 'US']",4,4.5,625,10.856,6.9,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
"1347","Kong: King of the Apes","SHOW",2016,"TV-Y7",21,"['animation', 'family', 'scifi', 'action', 'comedy']","['US']",2,5.8,331,13.218,6.5,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"1348","Real Rob","SHOW",2015,"TV-14",31,"['comedy']","['US']",2,6.3,2857,6.43,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1349","Tokyo Trial","SHOW",2016,"TV-MA",48,"['drama', 'history']","['JP', 'US']",1,7.4,1544,5.247,6.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1351","Beat Bugs","SHOW",2016,"TV-Y",15,"['family', 'animation', 'comedy', 'fantasy']","['AU']",3,7.6,524,6.682,6.6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"1353","Lego Bionicle: The Journey to One","SHOW",2016,"TV-Y7",20,"['action', 'fantasy', 'scifi', 'animation']","['US']",2,5.4,177,7.108,7.3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"1354","Intersection","SHOW",2016,"TV-MA",107,"['drama']","['TR']",2,6.5,1221,15.226,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1355","No Tomorrow","SHOW",2016,"TV-14",47,"['comedy', 'drama', 'romance', 'thriller']","['US']",1,7.1,5137,7.687,6.3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1358","Skylanders Academy","SHOW",2016,"TV-Y7",23,"['action', 'animation', 'comedy', 'family', 'fantasy']","['US']",3,6.5,760,14.848,6.1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"1360","Tales by Light","SHOW",2015,"",28,"['documentation']","['AU']",3,8.3,1916,3.565,7.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1367","Kuromukuro","SHOW",2016,"TV-14",24,"['comedy', 'drama', 'animation', 'action', 'scifi']","['JP']",2,7.2,1290,6.887,6.7,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"1369","Hip Hop Evolution","SHOW",2016,"TV-MA",45,"['documentation', 'music']","['CA']",4,8.4,5772,4.48,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1370","Chef's Table: France","SHOW",2016,"TV-14",46,"['documentation']","['US']",1,8.2,1734,4.096,8.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1371","Project Mc²","SHOW",2015,"TV-G",25,"['family']","['US']",6,5.8,1026,5.445,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1374","Nightmare Teacher","SHOW",2016,"TV-MA",16,"['drama', 'horror', 'thriller']","['KR']",1,7.1,446,5.677,8.4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1378","Secrets of Great British Castles","SHOW",2015,"TV-PG",44,"['documentation', 'history', 'european']","['GB']",2,7.8,1060,3.459,7.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1380","Rainbow Ruby","SHOW",2016,"TV-Y",12,"['family', 'fantasy', 'animation', 'comedy']","['CN']",4,6.6,80,12.713,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"1382","Simon","SHOW",2016,"TV-Y",5,"['comedy', 'family', 'animation']","['FR']",2,7,129,3.507,9.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1383","Richie Rich","SHOW",2015,"TV-PG",23,"['comedy']","['US']",2,3,1073,9.491,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1386","Marseille","SHOW",2016,"TV-MA",42,"['drama', 'european']","['FR']",2,6.8,5163,8.888,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1391","Another Miss Oh","SHOW",2016,"TV-MA",69,"['comedy', 'drama', 'family', 'fantasy', 'romance']","['KR']",1,7.8,1866,17.289,8.2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
"1393","Paquita Salas","SHOW",2016,"",22,"['comedy', 'european']","['ES']",3,8,3128,7.93,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1394","Unnatural Selection","SHOW",2015,"TV-MA",35,"['reality', 'documentation', 'comedy']","['US']",1,8.1,12,2.736,7.5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1399","H20: Mermaid Adventures","SHOW",2015,"TV-Y",24,"['animation', 'family', 'comedy', 'drama', 'fantasy', 'romance', 'european']","['FR']",2,5.7,194,8.908,8.8,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
"1401","Dear My Friends","SHOW",2016,"TV-MA",70,"['comedy', 'drama']","['KR']",1,8.2,366,4.766,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1403","The Sound of Your Heart","SHOW",2016,"",26,"['comedy', 'drama', 'animation']","['KR']",2,8.2,1127,5.877,8.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1405","The Good Cop","SHOW",2015,"TV-MA",28,"['comedy', 'drama']","['IL']",3,7.6,385,1.542,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1407","Sons of the Caliphate","SHOW",2015,"TV-14",0,"['drama']","['NG']",1,7.4,33,1.347,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1411","El Chema","SHOW",2016,"TV-MA",44,"['crime', 'action']","['US']",1,6.9,308,112.717,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1413","Captive","SHOW",2016,"",63,"['documentation', 'drama', 'european']","['US']",1,6.8,742,4.18,6.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1415","Hello, My Twenties!","SHOW",2016,"TV-14",63,"['comedy', 'drama', 'romance']","['KR']",2,8.3,2161,14.835,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1416","Haters Back Off","SHOW",2016,"TV-14",29,"['comedy', 'drama', 'family', 'romance']","['US']",2,5.9,7274,7.102,6.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1418","Good Morning Call","SHOW",2016,"TV-14",48,"['comedy', 'drama', 'romance']","['JP']",2,7.5,3161,15.259,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1419","Witch Hunt: A Century of Murder","SHOW",2015,"TV-14",46,"['documentation', 'crime', 'history', 'drama', 'fantasy', 'european']","['GB']",1,7.1,324,0.6,NA,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"1424","Spotless","SHOW",2015,"TV-MA",58,"['crime', 'comedy', 'drama', 'european']","['FR']",1,7.7,3663,6.213,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1426","Cheer Squad","SHOW",2016,"TV-PG",42,"['reality']","['CA']",1,7.2,167,1.168,7.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1430","Fartsa","SHOW",2015,"TV-14",60,"['drama', 'crime']","['RU']",1,6.7,197,2.722,7.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1431","The Paper","SHOW",2016,"TV-MA",49,"['drama', 'crime', 'action']","['HR']",3,7.4,64,3.809,7.6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1434","Word Party","SHOW",2016,"TV-Y",13,"['family', 'animation']","['US']",5,5.5,352,2.382,8.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1440","Popples","SHOW",2015,"",25,"['family', 'animation']","['RU', 'US', 'FR']",3,6,57,3.292,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1442","StoryBots Super Songs","SHOW",2016,"TV-Y",21,"['animation', 'family']","['US']",1,8.7,170,0.6,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1450","Sin senos sí hay paraíso","SHOW",2016,"TV-MA",47,"['action', 'drama', 'romance', 'crime']","['CO']",4,6.5,554,243.868,7.5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"1457","Chelsea","SHOW",2016,"TV-MA",52,"['comedy']","['US']",2,6,2072,16.004,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1461","Mossad 101","SHOW",2015,"TV-MA",42,"['action', 'drama']","['IL']",2,6.7,649,5.022,5.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1464","Vanished 46","SHOW",2016,"TV-MA",63,"['drama', 'action', 'scifi', 'crime', 'thriller']","['TR']",1,8.2,4326,2.184,7.8,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"1466","The Miracle","SHOW",2016,"TV-14",18,"['drama', 'comedy', 'fantasy', 'music']","['KR']",1,6.3,214,11.974,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"1468","White Nights","SHOW",2016,"",62,"['drama']","['KR']",1,6.9,297,5.348,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1469","Toon","SHOW",2016,"TV-MA",27,"['comedy']","['NL']",2,7.6,892,2.503,8.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1472","72 Cutest Animals","SHOW",2016,"",27,"['documentation']","['AU']",1,5.7,446,2.719,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1481","If I were an Animal","SHOW",2016,"TV-G",10,"['documentation']","['FR']",1,NA,NA,0.903,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1482","Home: Adventures with Tip & Oh","SHOW",2016,"TV-Y7",21,"['comedy', 'scifi', 'animation', 'family', 'fantasy']","['US']",4,6,604,6.585,7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"1484","A Touch of Green","SHOW",2015,"TV-MA",53,"['drama', 'war']","['TW']",1,8.4,341,4.43,9.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1486","Hibana: Spark","SHOW",2016,"",53,"['drama']","['JP']",1,7.9,846,2.29,7.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1491","The Truth Seekers","SHOW",2016,"TV-MA",44,"['drama', 'action']","['SG']",1,7.1,16,0.672,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1492","Atelier","SHOW",2015,"TV-14",69,"['drama', 'documentation', 'comedy']","['JP']",1,6.3,7,2.932,7.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1495","My Runway","SHOW",2016,"TV-14",24,"['comedy', 'drama', 'fantasy', 'romance']","['KR']",1,6.3,266,10.522,7.6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"1501","72 Dangerous Places to Live","SHOW",2016,"TV-PG",45,"['documentation']","['AU']",1,6.2,357,1.849,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1512","Kulipari: An Army of Frogs","SHOW",2016,"",23,"['action', 'animation', 'fantasy']","['US']",2,6.8,259,3.954,7.4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"1514","Kazoops!","SHOW",2016,"",13,"['animation', 'comedy', 'family', 'fantasy']","['AU', 'GB']",3,7.4,122,2.376,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"1515","Little Things","SHOW",2016,"TV-MA",25,"['drama', 'romance', 'comedy']","['IN']",4,8.2,6542,6.822,7.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1518","The Princess Weiyoung","SHOW",2016,"TV-14",45,"['drama', 'history', 'romance']","['CN']",1,7.7,800,10.875,7.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"1519","Terrace House: Aloha State","SHOW",2016,"",36,"['reality', 'drama']","['JP']",4,7.4,997,6.928,7.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1522","Trailer Park Boys: Out of the Park: Europe","SHOW",2016,"TV-MA",28,"['action', 'drama', 'comedy', 'crime']","['CA']",2,7,2324,5.537,6.2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1524","Chasing Cameron","SHOW",2016,"TV-PG",28,"['reality']","['US']",1,3.5,500,2.452,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
